split,Open Water,Impervious Structures,Impervious Surfaces,Barren Land,Tree Canopy/Woody Vegetation,Low Vegetation/Herbaceous,Cultivated Crops
NLCD,0.019005131010337656,0.00759940110706302,0.07172771759266873,0.0029612765650459043,0.5485331150504241,0.21451431005120936,0.1356590486232512
Training,0.011494598765432098,0.022038194444444447,0.2294413580246912,0.0015397376543209874,0.34733024691358033,0.3184648919753085,0.06969097222222222
Validation,0.01196604938271605,0.01828317901234568,0.22960725308641966,0.0006188271604938272,0.3490370370370371,0.3184529320987656,0.07203472222222224
Test,0.014121141975308641,0.02169521604938273,0.22914197530864194,0.0015825617283950616,0.3605570987654318,0.3165972222222222,0.056304783950617276
