epoch,phase,step,time,mem_usage,mem_alloc,mem_cache,power_draw,gpu_util,temperature,notes
-1,init,0,0.0,3,933399552,1438646272,67327,10,34,
0,train,0,13.338040351867676,3,1023297536,22825402368,69201,11,35,
0,train,1,16.73051357269287,2,1073645568,22825402368,68605,9,35,
0,train,2,19.642414093017578,2,1123993600,22825402368,84048,10,35,
0,train,3,21.64553666114807,16,1174341632,22825402368,122436,59,36,
0,train,4,23.24438786506653,14,1224689664,22825402368,122132,53,37,
0,train,5,24.3187038898468,12,1275037696,22825402368,121368,57,37,
0,train,6,25.38584303855896,17,1325385728,22825402368,117906,65,37,
0,train,7,26.461414337158203,16,1375733760,22825402368,116605,62,38,
0,train,8,27.52349591255188,22,1426081792,22825402368,124431,56,38,
0,train,9,28.592232704162598,17,1476429824,22825402368,124543,66,38,
0,train,10,29.663997888565063,16,1526777856,22825402368,130505,63,38,
0,train,11,30.733765125274658,19,1577125888,22825402368,162646,53,38,
0,train,12,31.8021559715271,17,1627473920,22825402368,129376,66,39,
0,train,13,32.81257724761963,17,1677821952,22825402368,127176,66,39,
0,train,14,33.87368726730347,16,1728169984,22825402368,133260,63,39,
0,train,15,48.40680146217346,13,1006696960,16829644800,121402,44,40,
0,train,16,49.460211753845215,22,1032342016,22869442560,154078,54,40,
0,train,17,50.515358448028564,17,1082690048,22869442560,130103,66,41,
0,train,18,51.57457756996155,16,1133038080,22869442560,151537,63,41,
0,train,19,52.63282752037048,16,1183386112,22869442560,131366,60,41,
0,train,20,53.648805141448975,24,1233734144,22869442560,126463,75,41,
0,train,21,54.714762926101685,15,1284082176,22869442560,132044,60,41,
0,train,22,55.77609086036682,17,1334430208,22869442560,122310,65,41,
0,train,23,56.793779373168945,17,1384778240,22869442560,184545,64,42,
0,train,24,57.85923671722412,16,1435126272,22869442560,133113,62,42,
0,train,25,58.918543100357056,11,1485474304,22869442560,170695,56,41,
0,train,26,60.06408381462097,16,1535822336,22869442560,130180,62,42,
0,train,27,61.13055229187012,22,1586170368,22869442560,172815,52,42,
0,train,28,62.18832468986511,4,1636518400,22869442560,76167,10,41,
0,train,29,63.42445421218872,17,1686866432,22869442560,128137,65,42,
0,train,30,64.49027895927429,16,1737214464,22869442560,136279,62,42,
0,train,31,78.14660048484802,13,1006696960,22869442560,167204,46,43,
0,train,32,79.19858813285828,16,1032342016,22869442560,133178,60,43,
0,train,33,80.26668882369995,14,1082690048,22869442560,136470,59,43,
0,train,34,81.32838225364685,17,1133038080,22869442560,77277,14,42,
0,train,35,82.53607273101807,17,1183386112,22869442560,130662,65,44,
0,train,36,83.60307097434998,16,1233734144,22869442560,135381,62,44,
0,train,37,84.66620826721191,20,1284082176,22869442560,124674,53,44,
0,train,38,85.73063015937805,18,1334430208,22869442560,133929,64,44,
0,train,39,86.79402112960815,16,1384778240,22869442560,160506,63,44,
0,train,40,87.84963178634644,16,1435126272,22869442560,134867,59,44,
0,train,41,88.91016268730164,19,1485474304,22869442560,163703,59,44,
0,train,42,89.96800446510315,17,1535822336,22869442560,134858,66,44,
0,train,43,91.02866864204407,16,1586170368,22869442560,139591,63,44,
0,train,44,92.08838820457458,16,1636518400,22869442560,133219,57,44,
0,train,45,93.14737296104431,13,1686866432,22869442560,139540,58,45,
0,train,46,94.21299409866333,17,1737214464,22869442560,132832,65,45,
0,train,47,107.9007818698883,14,1006696960,22869442560,138632,48,45,
0,train,48,108.96833777427673,16,1032342016,22869442560,136305,62,45,
0,train,49,110.02742671966553,21,1082690048,22869442560,130562,53,45,
0,train,50,111.08618593215942,18,1133038080,22869442560,133731,65,46,
0,train,51,112.14241075515747,16,1183386112,22869442560,150309,63,46,
0,train,52,113.20032286643982,16,1233734144,22869442560,139573,61,46,
0,train,53,114.25769138336182,22,1284082176,22869442560,160281,53,46,
0,train,54,115.3215172290802,17,1334430208,22869442560,133026,66,46,
0,train,55,116.38060188293457,16,1384778240,22869442560,164896,63,46,
0,train,56,117.44164156913757,8,1435126272,22869442560,84252,35,45,
0,train,57,118.59740400314331,16,1485474304,22869442560,156274,63,46,
0,train,58,119.6553406715393,16,1535822336,22869442560,137353,57,46,
0,train,59,120.71475434303284,13,1586170368,22869442560,139905,58,46,
0,train,60,121.77706718444824,17,1636518400,22869442560,132680,65,46,
0,train,61,122.83712959289551,16,1686866432,22869442560,136971,63,46,
0,train,62,123.89727401733398,19,1737214464,22869442560,135172,54,46,
0,train,63,137.5880584716797,12,1006696960,22869442560,144957,42,47,
0,val,0,2.332822561264038,14,1030550528,22869442560,140533,42,46,
0,val,1,2.900951623916626,7,1080898560,22869442560,79047,15,45,
0,val,2,3.6342623233795166,13,1131246592,22869442560,134560,44,46,
0,val,3,4.1973512172698975,10,1181594624,22869442560,79844,29,45,
0,val,4,4.917497158050537,14,1231942656,22869442560,131233,42,47,
0,val,5,5.47217321395874,19,1282290688,22869442560,79345,51,45,
0,val,6,6.1867356300354,21,1332638720,22869442560,237126,56,47,
0,val,7,6.741098642349243,7,1382986752,22869442560,79241,18,45,
0,val,8,7.467067241668701,14,1433334784,22869442560,142443,44,47,
0,val,9,8.019516229629517,10,1483682816,22869442560,79739,29,45,
0,val,10,8.734569549560547,14,1534030848,22869442560,118780,45,47,
0,val,11,9.286863327026367,18,1584378880,22869442560,79454,49,45,
0,val,12,10.012065649032593,21,1634726912,22869442560,232512,54,47,
0,val,13,10.560301065444946,7,1685074944,22869442560,79334,17,45,
0,val,14,11.295119524002075,14,1735422976,22869442560,144468,44,47,
0,val,15,11.841968297958374,10,1004852224,22869442560,79120,29,45,
