,learning_rate,train_total_loss,train_reconstruction_loss,train_contrastive_loss,val_total_loss,val_reconstruction_loss,val_contrastive_loss
0,0.024,52988.91755713035,54808.12956445577,16.65680519199379,55336.521594119775,59541.490196078434,16.64438573963578
1,0.048,52947.28630729623,54782.78724951562,16.637950965194282,55581.6512225692,60031.491088309645,16.644469842717694
2,0.072,52983.01959285505,54854.280861002735,16.637942162990683,55503.513521551635,59875.057378964586,16.644521375045144
3,0.096,52895.378724420734,54679.023234333945,16.637934314618334,55401.16799439168,59669.95475113122,16.644655350798228
4,0.12,53010.27553149137,54908.84401624333,16.637925470943813,55332.80736303188,59532.88730270006,16.644768041459542
5,0.144,52972.53389070256,54833.407649228975,16.637910199276085,54709.721453912,58286.455080407024,16.644852808403968
6,0.16799999999999998,52869.74447010112,54627.85814157178,16.637900650595853,54824.84328596011,58516.22713657511,16.645006326609735
